zip,latitude,longitude,irs_estimated_population
40018,38.25,-85.48,117
40023,38.17,-85.43,6220
40025,38.3,-85.65,127
40027,38.28,-85.62,185
40041,38.26,-85.66,350
40059,38.34,-85.6,20100
40118,38.11,-85.75,8310
40201,38.22,-85.74,962
40202,38.25,-85.75,3110
40203,38.25,-85.77,10220
40204,38.24,-85.72,10890
40205,38.22,-85.68,20200
40206,38.26,-85.7,15800
40207,38.27,-85.66,27410
40208,38.22,-85.77,8030
40209,38.19,-85.75,360
40210,38.23,-85.79,10350
40211,38.24,-85.82,16500
40212,38.27,-85.8,12160
40213,38.18,-85.72,13760
40214,38.15,-85.78,38580
40215,38.19,-85.79,16830
40216,38.19,-85.84,37200
40217,38.22,-85.74,9370
40218,38.19,-85.65,27170
40219,38.14,-85.69,34330
40220,38.22,-85.62,29680
40221,38.19,-85.75,248
40222,38.27,-85.62,19870
40223,38.26,-85.54,22350
40224,38.22,-85.74,95
40225,38.22,-85.74,15
40228,38.13,-85.63,17510
40229,38.09,-85.65,35110
40231,38.2,-85.7,0
40232,38.22,-85.74,537
40233,38.22,-85.74,172
40241,38.3,-85.58,29040
40242,38.28,-85.59,9610
40243,38.24,-85.54,10640
40245,38.27,-85.45,36820
40250,38.22,-85.74,337
40251,38.22,-85.74,356
40252,38.22,-85.74,357
40253,38.22,-85.74,336
40255,38.22,-85.74,117
40256,38.22,-85.74,430
40257,38.22,-85.74,301
40258,38.15,-85.88,23290
40259,38.22,-85.74,617
40261,38.22,-85.74,186
40266,38.22,-85.74,0
40268,38.22,-85.74,194
40269,38.22,-85.74,372
40270,38.22,-85.74,122
40272,38.08,-85.85,32540
40280,38.25,-85.69,418
40281,38.22,-85.74,0
40282,38.22,-85.74,0
40283,38.22,-85.74,0
40285,38.22,-85.74,0
40287,38.22,-85.74,0
40289,38.22,-85.74,0
40290,38.22,-85.74,0
40291,38.13,-85.58,37130
40292,38.22,-85.74,35
40293,38.22,-85.74,0
40294,38.22,-85.74,0
40295,38.22,-85.74,0
40296,38.22,-85.74,0
40297,38.22,-85.74,0
40298,38.22,-85.74,0
40299,38.15,-85.52,40340
